,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
합계,1940,2012,2099,2180,2253,2320,2368,2437,2491,2550,2594,2616
서울,297,301,306,308,312,313,312,316,318,319,319,318
부산,118,121,126,130,133,137,140,143,147,150,152,154
대구,104,107,111,113,116,118,119,122,121,123,125,125
인천,114,125,136,144,151,158,164,168,168,169,173,174
광주,57,59,61,63,65,66,68,69,70,71,72,72
대전,61,62,63,65,66,67,67,69,69,71,72,73
울산,49,51,53,54,55,56,57,58,58,59,59,60
세종,5,7,9,11,13,15,16,18,19,19,19,20
경기,453,470,492,516,539,562,577,600,621,638,652,659
강원,65,67,69,72,75,77,78,81,83,85,86,87
충북,67,70,73,76,79,82,84,87,89,92,93,94
충남,89,93,97,102,106,109,112,115,118,121,124,126
전북,78,81,84,87,89,92,93,95,96,98,99,99
전남,80,84,90,95,99,103,106,110,117,124,125,126
경북,121,126,131,135,139,142,145,148,150,152,153,154
경남,149,151,156,163,167,169,172,179,183,190,194,196
제주,33,38,44,47,50,55,60,62,66,69,70,70
